fid,month,year,site,water,temp,s.temp,sal,sal2,vvha,vvha.l,vvha.u,pilf,pilf.l,pilf.u,tlh,tlh.l,tlh.u,tdh,tdh.l,tdh.u,trh,trh.l,trh.u,log.vvha,log.pilf,log.tlh,log.tdh,log.trh,water.log.vvha,water.log.pilf,water.log.tlh,water.log.tdh,water.log.trh,chlo,pheo,turb
93,4,2014,1,24,14,-1.28404687,11,121,11,3,43,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,2.40E+00,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,-26.40724568,-26.40724568,-26.40724568,14.79,1.15,6.5
94,4,2014,1,24,14,-1.28404687,11,121,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,-26.40724568,-26.40724568,-26.40724568,14.79,1.15,6.5
95,4,2014,1,24,14,-1.28404687,11,121,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,-26.40724568,-26.40724568,-26.40724568,14.79,1.15,6.5
96,4,2014,1,24,14,-1.28404687,11,121,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,-26.40724568,-26.40724568,-26.40724568,14.79,1.15,6.5
97,4,2014,2,25,15,-1.110724954,19,361,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3.6,0.51,25,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,5.56E-01,1.28E+00,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,0.91,0.51,1.6
98,4,2014,2,25,15,-1.110724954,19,361,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,9.64E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,0.91,0.51,1.6
99,4,2014,2,25,15,-1.110724954,19,361,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,9.64E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,0.91,0.51,1.6
100,4,2014,2,25,15,-1.110724954,19,361,3,0.37,25,5.40E-11,5.40E-11,5.40E-11,23,6.6,80,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,1.10E+00,-2.36E+01,1.36E+00,2.22E+00,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,0.91,0.51,1.6
101,4,2014,4,26,14,-1.28404687,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,5.56E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.76,1.65,32
102,4,2014,4,26,14,-1.28404687,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.76,1.65,32
103,4,2014,4,26,14,-1.28404687,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.76,1.65,32
104,4,2014,4,26,14,-1.28404687,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.76,1.65,32
105,5,2014,1,27,18,-0.590759207,8,64,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,9.51,1.08,5
106,5,2014,1,27,18,-0.590759207,8,64,3,0.37,25,5.40E-11,5.40E-11,5.40E-11,6,1.2,30,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.10E+00,-2.36E+01,7.78E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,9.51,1.08,5
107,5,2014,1,27,18,-0.590759207,8,64,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,2.22E+00,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,9.51,1.08,5
108,5,2014,1,27,18,-0.590759207,8,64,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,9.51,1.08,5
109,5,2014,2,28,16,-0.937403038,13,169,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,7.2,1.6,32,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,8.57E-01,1.28E+00,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.51,1.87,4.7
110,5,2014,2,28,16,-0.937403038,13,169,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,5.56E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.51,1.87,4.7
111,5,2014,2,28,16,-0.937403038,13,169,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.51,1.87,4.7
112,5,2014,2,28,16,-0.937403038,13,169,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3,0.37,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,4.77E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.51,1.87,4.7
113,5,2014,4,29,16,-0.937403038,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,5.56E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.14,6.07,26
114,5,2014,4,29,16,-0.937403038,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.14,6.07,26
115,5,2014,4,29,16,-0.937403038,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.14,6.07,26
116,5,2014,4,29,16,-0.937403038,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.14,6.07,26
